target,seed,stage,stage_rank,det,median,p5,p25,p75,p95,n_cycles
cooler,1,20.0,1,1.0,2140.4666283756965,2054.8789095663374,2107.7749169474687,2183.8262434917588,2247.468978254178,480
cooler,1,3.0,2,1.0,2559.8506154045144,1918.351461020186,2178.649603450385,2881.049097607177,3200.916169080254,480
cooler,2,20.0,1,1.0,953.3277878907137,860.5867205384831,893.2924605099381,1093.092317170266,1215.1030040896392,480
cooler,2,3.0,2,1.0,4463.051215959822,3505.483075115772,3779.907674285332,4760.99885360712,5017.470557567797,480
cooler,3,20.0,1,1.0,1124.1668574232176,1075.0550716972414,1105.1461318031613,1144.325566569613,1178.9093971720133,480
cooler,3,3.0,2,1.0,1777.2319049356097,1498.0847596179144,1627.1949726827331,1957.3286710949794,2242.633243264605,480
cooler,4,20.0,1,1.0,468.8044951119953,448.0223557631211,459.60346825866884,484.62485365047655,539.7833564055765,480
cooler,4,3.0,2,1.0,1799.3821125268596,1256.571593556313,1450.133219574905,2357.5868816179227,2748.6578908179076,480
cooler,5,20.0,1,1.0,2162.5390548949326,1896.396795715119,1944.4945338384478,2454.7170199140573,2769.587576115085,480
cooler,5,3.0,2,1.0,9150.63164192651,7788.467528744803,8761.680845434807,10197.093012829708,11269.774556675013,480
valve,1,90.0,1,0.022222222222222223,-10.183691364942803,-11.328689444757158,-10.862013519192255,-9.281437339557371,-7.89904100425089,360
valve,1,80.0,2,0.013888888888888888,-5.906878809588533,-8.016846615428163,-6.944120863829478,-4.642721238799425,-2.50428723848693,360
valve,1,73.0,3,1.0,9.352114810406142,4.882073621386564,7.368175112333226,11.248402578281686,14.267096560983715,360
valve,2,90.0,1,0.027777777777777776,-2.7184072893176534,-3.5811852256458883,-3.247152497156108,-2.025920423917073,-0.702996062238762,360
valve,2,80.0,2,0.7972222222222223,0.9797265741504204,-0.6505065121914135,0.20046081296192425,1.9167129041570978,3.95857403977492,360
valve,2,73.0,3,1.0,12.557093597082824,9.74157830731033,11.410975413583598,14.047378245136535,16.33984787114813,360
valve,3,90.0,1,0.013888888888888888,-14.926508462743534,-15.764111587485406,-15.429558568107714,-14.2098177479735,-12.692400184536769,360
valve,3,80.0,2,0.005555555555555556,-12.563478764138893,-14.021302795346156,-13.441137193250812,-11.651748520667184,-9.9973473126363,360
valve,3,73.0,3,0.04722222222222222,-3.8107308836154927,-6.42569786720424,-4.9592389554222125,-2.5669252033041623,-0.21971975002547212,360
valve,4,90.0,1,0.013888888888888888,-6.92317873476412,-7.591742335994586,-7.296895685582914,-6.3984166904056465,-5.321100933419684,360
