candidate,far_fold1,far_fold2,far_fold3,far_mean,det_all,absorb_e1,inner_ordered,inner_pairs,inner_rho,outer_ordered,outer_pairs,outer_rho,scale_ratio
A global floor,0.6875,0.0,0.60546875,0.4309895833333333,0.8148749398749399,0.11867349596319125,8,8,0.8451542547285165,4,4,0.8660254037844387,1.5836558800954446
B component-conditional floor,0.52685546875,0.02880859375,0.72998046875,0.4285481770833333,0.6807659932659933,0.4110599878461672,7,8,0.8451542547285165,4,4,0.8660254037844387,1.3122850664372596
C condition-conditional floor,0.498046875,0.2548828125,0.65283203125,0.4685872395833333,0.7470238095238095,0.2244118413056689,8,8,0.8451542547285165,4,4,0.8660254037844387,1.5836558800954443
D hierarchical (population envelope),0.46875,0.25048828125,0.6240234375,0.44775390625,0.6348605098605099,0.35549960934108865,8,8,0.8451542547285165,4,4,0.8660254037844387,1.5836558800954388
E commissioning offset,0.15478515625,0.0,0.26806640625,0.14095052083333334,0.8148749398749399,0.11867349596319125,8,8,0.8451542547285165,4,4,0.8660254037844387,1.5836558800954446
