target,seed,K,healthy_far,rho,adj_ci1_lo,adj_ci1_hi,adj_ci2_lo,adj_ci2_hi,severe_vs_mild_ci_lo,severe_vs_mild_ci_hi
cooler,1,2,0.00510204081632653,0.48763571457571026,344.9140030459011,493.8324665176019,,,,
cooler,2,2,0.01020408163265306,0.8660258736336729,3445.4316509692653,3569.2103440142137,,,,
cooler,3,2,0.02040816326530612,0.8624023973221153,624.5650612908186,679.0388092401381,,,,
cooler,4,1,0.05612244897959184,0.8660258736336729,1249.267752252115,1441.9036637456536,,,,
cooler,5,2,0.01020408163265306,0.8660258736336729,6906.872037603354,7056.82178581395,,,,
valve,1,1,0.006756756756756757,0.9252081536527129,3.9556622074414562,4.6062427650669004,14.727596803505584,15.760902770740291,19.095706951152476,19.913490180122366
valve,2,1,0.033783783783783786,0.9151944406738918,3.4196917232273494,3.8743760671968257,11.321261949060693,11.920158533920167,15.014182860807924,15.555640839347474
valve,3,1,0.006756756756756757,0.8904202310484831,2.1135869872229756,2.6214090639671763,8.43613126232752,9.02645002356404,10.85422172674076,11.317348937047658
valve,4,1,0.0,0.8905802758618024,1.426989822848993,1.7864554184374941,6.20856660107192,6.720284216337094,7.84622854528699,8.28097616499088
valve,5,1,0.006756756756756757,0.90623556851013,2.7287747736967107,3.279928330015468,10.907681833875547,11.855741779270588,14.00216608141466,14.828051381121627
leak,1,3,0.02040816326530612,0.45646028664203975,1.7588242834890278,2.93920228718868,,,,
leak,2,1,0.030612244897959183,0.030145518691588786,-0.19764268011135178,0.2205407529777279,,,,
leak,3,3,0.01020408163265306,0.38550179513832245,3.4515724909780494,4.931924566584437,,,,
leak,4,2,0.025510204081632654,0.16182354996387538,2.152488443557816,3.238084622909447,,,,
leak,5,3,0.02040816326530612,0.3884862766646468,2.31766105640402,3.220859205795894,,,,
accumulator,1,1,0.013888888888888888,0.03913205929876068,-0.31882345205743484,0.28699979160494155,-0.26750120599344623,0.30660753008680847,-0.23565680177006101,0.2615894773867336
accumulator,2,1,0.034722222222222224,0.07387360459683216,-0.32075480471744305,0.346594031766124,-0.07487476593052077,0.7131219564873303,0.011876232961905705,0.6542434489888469
accumulator,3,1,0.0,0.048135238544931326,-0.19873781045481528,0.5758009430163921,-0.4331449371169734,0.3499572578835443,-0.16345378762737245,0.4556645103926508
accumulator,4,1,0.027777777777777776,0.04656465718501369,-0.10989882327449219,0.40655652182692015,-0.2696858797131336,0.3006911345692064,-0.05556310894569445,0.36891459095703255
accumulator,5,1,0.006944444444444444,0.02873224103287506,-0.3158197147264983,0.24826848615681643,-0.14702285693929024,0.4080531957229212,-0.2158625678739874,0.4001764420836244
